epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,337.827,1.33728,1.00038,1.07223,0.72221,0.52057,0.55473,0.24585,2.01201,1.42599,1.54246,0.000848969,0.000848969,0.000848969
43,345.021,1.35886,0.97992,1.07677,0.68728,0.5992,0.62039,0.25533,1.9738,1.36943,1.51564,0.000834822,0.000834822,0.000834822
44,353.658,1.3177,0.97025,1.07093,0.65938,0.59361,0.61298,0.26676,1.98621,1.41255,1.50687,0.000820675,0.000820675,0.000820675
45,361.677,1.31859,0.97516,1.07121,0.68905,0.56441,0.60084,0.27302,1.95444,1.43639,1.49376,0.000806528,0.000806528,0.000806528
46,369.149,1.27351,0.91983,1.05962,0.67701,0.5687,0.5636,0.25771,1.91207,1.45412,1.45775,0.00079238,0.00079238,0.00079238
47,377.586,1.31069,0.93164,1.06798,0.69168,0.59643,0.60793,0.26853,1.86313,1.33864,1.44657,0.000778233,0.000778233,0.000778233
48,384.838,1.27474,0.91164,1.06684,0.73348,0.54307,0.6043,0.25861,1.91487,1.34789,1.52716,0.000764086,0.000764086,0.000764086
49,393.112,1.26604,0.9109,1.04543,0.68183,0.52441,0.56296,0.26234,1.97798,1.37237,1.55785,0.000749939,0.000749939,0.000749939
50,401.36,1.24679,0.86835,1.04426,0.72132,0.56928,0.59148,0.25219,2.024,1.2599,1.63536,0.000735792,0.000735792,0.000735792
51,408.596,1.26146,0.86919,1.04585,0.81857,0.54426,0.62802,0.26723,2.02063,1.31633,1.64392,0.000721645,0.000721645,0.000721645
52,416.936,1.24227,0.86762,1.04138,0.82465,0.52995,0.6054,0.28162,1.99584,1.24054,1.59142,0.000707498,0.000707498,0.000707498
53,424.615,1.24214,0.8566,1.03161,0.8112,0.54997,0.62475,0.26605,2.10461,1.42237,1.65116,0.000693351,0.000693351,0.000693351
54,432.518,1.24317,0.87269,1.03987,0.81911,0.57105,0.6561,0.27431,2.03724,1.3485,1.57309,0.000679204,0.000679204,0.000679204
55,440.964,1.22621,0.87914,1.0272,0.66661,0.53853,0.57955,0.25263,2.09359,1.36933,1.64018,0.000665057,0.000665057,0.000665057
56,448.215,1.19749,0.81668,1.01429,0.7504,0.5634,0.5908,0.26449,1.99327,1.3942,1.56538,0.000650909,0.000650909,0.000650909
57,456.52,1.20991,0.82652,1.02493,0.69296,0.59961,0.60765,0.26725,1.98725,1.34304,1.61044,0.000636762,0.000636762,0.000636762
58,464.28,1.17747,0.84357,1.01939,0.81931,0.51512,0.61499,0.26503,1.94633,1.4205,1.58725,0.000622615,0.000622615,0.000622615
59,471.959,1.1774,0.81356,1.00698,0.73336,0.52724,0.57303,0.25269,2.01305,1.47533,1.58269,0.000608468,0.000608468,0.000608468
60,480.283,1.18367,0.79578,1.01501,0.70489,0.59231,0.60752,0.25976,2.09676,1.39881,1.69542,0.000594321,0.000594321,0.000594321
61,487.532,1.14992,0.79671,1.00572,0.68407,0.59967,0.63308,0.26994,2.0466,1.34048,1.66318,0.000580174,0.000580174,0.000580174
62,495.793,1.14181,0.78455,0.99808,0.64238,0.58706,0.60001,0.27637,2.05167,1.32985,1.61628,0.000566027,0.000566027,0.000566027
63,504.159,1.16054,0.79115,1.01116,0.74015,0.5715,0.61004,0.27791,2.05685,1.32123,1.63175,0.00055188,0.00055188,0.00055188
64,511.544,1.14875,0.79617,1.00701,0.76031,0.51371,0.60591,0.28335,1.98645,1.35585,1.63651,0.000537733,0.000537733,0.000537733
65,519.784,1.12721,0.7608,0.99529,0.80052,0.57273,0.62991,0.28659,2.02108,1.31503,1.58247,0.000523586,0.000523586,0.000523586
66,527.175,1.14855,0.78024,1.00548,0.74969,0.60052,0.61992,0.27837,1.98558,1.22997,1.57518,0.000509438,0.000509438,0.000509438
67,535.565,1.12237,0.76863,0.98997,0.66905,0.59468,0.5725,0.25819,2.01937,1.36316,1.59023,0.000495291,0.000495291,0.000495291
68,543.903,1.14857,0.76447,0.9968,0.76257,0.57825,0.60723,0.28271,2.03552,1.41894,1.61445,0.000481144,0.000481144,0.000481144
69,551.175,1.11968,0.75598,0.99232,0.72586,0.56952,0.59186,0.27023,2.00063,1.29818,1.62039,0.000466997,0.000466997,0.000466997
70,559.477,1.12331,0.76129,1.00002,0.72574,0.61009,0.60669,0.28114,1.97603,1.33261,1.61055,0.00045285,0.00045285,0.00045285
71,567.161,1.09285,0.73238,0.98532,0.70229,0.61314,0.62863,0.28065,2.01056,1.27355,1.63455,0.000438703,0.000438703,0.000438703
72,575.107,1.08561,0.72783,0.98034,0.71981,0.55868,0.59806,0.27598,1.9592,1.34473,1.54365,0.000424556,0.000424556,0.000424556
73,583.402,1.10369,0.74746,0.99047,0.72765,0.60523,0.63077,0.29683,1.91689,1.32553,1.52819,0.000410409,0.000410409,0.000410409
74,590.812,1.08473,0.73108,0.97717,0.78102,0.56614,0.61781,0.28047,1.96348,1.31884,1.61782,0.000396262,0.000396262,0.000396262
75,599.105,1.08083,0.71928,0.98265,0.74587,0.56007,0.60915,0.29413,1.92843,1.25912,1.54303,0.000382115,0.000382115,0.000382115
76,607.296,1.05016,0.70162,0.96679,0.77874,0.62963,0.64135,0.30022,1.9693,1.24233,1.56889,0.000367967,0.000367967,0.000367967
77,615.031,1.04842,0.70469,0.96341,0.76519,0.56655,0.61712,0.27193,1.99756,1.38677,1.59901,0.00035382,0.00035382,0.00035382
78,623.595,1.06055,0.70148,0.96291,0.74496,0.5764,0.62324,0.27257,1.99858,1.35693,1.59037,0.000339673,0.000339673,0.000339673
79,630.938,1.0377,0.6852,0.96036,0.82863,0.58056,0.64444,0.29268,1.96916,1.30838,1.5697,0.000325526,0.000325526,0.000325526
80,639.393,1.06475,0.69865,0.96995,0.81964,0.57975,0.61093,0.27496,2.01119,1.33369,1.57143,0.000311379,0.000311379,0.000311379
81,647.768,1.04302,0.69122,0.95567,0.74607,0.59085,0.61211,0.27694,2.00759,1.36366,1.60596,0.000297232,0.000297232,0.000297232
82,655.199,1.0085,0.67788,0.95082,0.82447,0.55945,0.6238,0.28387,1.99471,1.28751,1.57285,0.000283085,0.000283085,0.000283085
83,663.7,0.99879,0.66101,0.94302,0.80517,0.57936,0.63428,0.28831,1.98444,1.28818,1.56542,0.000268938,0.000268938,0.000268938
84,671.929,1.0031,0.65943,0.94665,0.78269,0.56275,0.61671,0.28931,1.97604,1.26017,1.60043,0.000254791,0.000254791,0.000254791
85,679.477,1.01398,0.67201,0.94894,0.75847,0.54804,0.6123,0.28081,1.99966,1.40255,1.59098,0.000240644,0.000240644,0.000240644
86,687.976,1.00682,0.67436,0.94599,0.82389,0.5822,0.61262,0.28314,1.98197,1.34222,1.58738,0.000226497,0.000226497,0.000226497
87,695.487,0.98839,0.64916,0.94859,0.78543,0.59288,0.6282,0.28852,1.96512,1.37809,1.5653,0.000212349,0.000212349,0.000212349
88,703.762,0.97575,0.65841,0.93977,0.77882,0.62485,0.6602,0.28669,1.9524,1.31517,1.55773,0.000198202,0.000198202,0.000198202
89,712.188,0.99535,0.65657,0.94963,0.81908,0.5719,0.64163,0.29232,1.95399,1.23131,1.57839,0.000184055,0.000184055,0.000184055
90,719.593,0.96277,0.65137,0.93814,0.83158,0.56634,0.64222,0.29364,1.96379,1.29845,1.60014,0.000169908,0.000169908,0.000169908
91,729.571,0.93303,0.6161,0.92867,0.75555,0.62939,0.6529,0.28608,2.00402,1.31533,1.61391,0.000155761,0.000155761,0.000155761
92,737.766,0.93913,0.60854,0.92804,0.85111,0.5633,0.62635,0.28238,1.97437,1.29981,1.58801,0.000141614,0.000141614,0.000141614
93,745.032,0.93085,0.59511,0.92545,0.86817,0.53736,0.60295,0.27946,1.98386,1.325,1.62008,0.000127467,0.000127467,0.000127467
94,753.167,0.88356,0.57184,0.92448,0.77983,0.56536,0.58765,0.27931,1.97444,1.33587,1.56495,0.00011332,0.00011332,0.00011332
95,760.684,0.88431,0.57301,0.91856,0.82131,0.55787,0.61681,0.28177,1.97831,1.33436,1.57702,9.91726e-05,9.91726e-05,9.91726e-05
96,768.345,0.88604,0.56074,0.92022,0.87437,0.55932,0.6265,0.28799,2.00053,1.33831,1.59188,8.50255e-05,8.50255e-05,8.50255e-05
97,776.59,0.88149,0.54782,0.91422,0.80473,0.57857,0.62206,0.29122,1.99099,1.35465,1.59149,7.08784e-05,7.08784e-05,7.08784e-05
98,783.697,0.87067,0.55251,0.90966,0.8057,0.585,0.63574,0.2952,1.99508,1.34535,1.60925,5.67313e-05,5.67313e-05,5.67313e-05
99,791.773,0.85734,0.53673,0.90205,0.82127,0.56781,0.63562,0.29299,1.99073,1.33347,1.60482,4.25842e-05,4.25842e-05,4.25842e-05
100,799.316,0.86145,0.55524,0.9116,0.80897,0.57956,0.63487,0.29387,1.97921,1.32376,1.57214,2.84371e-05,2.84371e-05,2.84371e-05
